id_before,govid_before,govname_before,award_before,profile_url,name_before,title_before,affiliation_before,other_affiliations_before,location_before,year_before,deceased_before,id_after,govid_after,govname_after,award_after,name_after,title_after,affiliation_after,other_affiliations_after,location_after,year_after,deceased_after,location
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/107880/Mr-R-Keith-Michel,R. Keith Michel,President Emeritus,Webb Institute,"Webb Institute, Herbert Engineering Corporation","Alameda, California, United States",,,3008,221,National Academy of Engineering,NAE Membership,R. Keith Michel,President Emeritus,Webb Institute,"Webb Institute, Herbert Engineering Corporation","Alameda, California, United States",,Y,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/130132/Professor-Emery-Neal-Brown,Emery Neal Brown,Edward Hood Taplin Professor of Medical Engineering and Computational Neuroscience,Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Massachusetts General Hospital, Massachusetts General Hospital","Cambridge, Massachusetts, United States",,,3008,221,National Academy of Engineering,NAE Membership,Emery Neal Brown,Edward Hood Taplin Professor of Medical Engineering and Computational Neuroscience,Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Massachusetts General Hospital, Massachusetts General Hospital","Cambridge, Massachusetts, United States",,Y,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/130238/Mrs-Virginia-C-Sulzberger,Virginia C. Sulzberger,Director of Engineering (retired),North American Electric Reliability Corporation,North American Electric Reliability Corporation,"Livingston, New Jersey, United States",,,3008,221,National Academy of Engineering,NAE Membership,Virginia C. Sulzberger,Director of Engineering (retired),North American Electric Reliability Corporation,North American Electric Reliability Corporation,"Livingston, New Jersey, United States",,Y,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/149871/Dr-Basil-Louis-Joffe,Basil Louis Joffe,Senior Consultant,AVEVA Aveva Industrial Software,"AVEVA Aveva Industrial Software, Spiral Software, Ltd.","Houston, Texas, United States",,,3008,221,National Academy of Engineering,NAE Membership,Basil Louis Joffe,Senior Consultant,AVEVA Aveva Industrial Software,"AVEVA Aveva Industrial Software, Spiral Software, Ltd.","Houston, Texas, United States",,Y,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/149905/Professor-Gran-Andersson,Göran Andersson,Professor,ETH Zurich,ETH Zurich,"Uppsala, Uppsala län, Sweden",,,3008,221,National Academy of Engineering,NAE Membership,Göran Andersson,"Chief AI Scientist, Facebook Professor",ETH Zurich,BMW AG,"Uppsala, Uppsala län, Sweden",,,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/149907/Professor-Masao-Doi,Masao Doi,,Beihang University,Beihang University,"Beijing, Beijing, China",,,3008,221,National Academy of Engineering,NAE Membership,Masao Doi,"Chief AI Scientist, Facebook Professor",Beihang University,Beihang University,"Beijing, Beijing, China",,,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/165606/Dr-Paula-T-Hammond,Paula T. Hammond,Institute Professor and Vice Provost for Faculty,Massachusetts Institute of Technology,Massachusetts Institute of Technology,"Cambridge, Massachusetts, United States",,,3008,221,National Academy of Engineering,NAE Membership,Paula T. Hammond,Institute Professor and Vice Provost for Faculty,Massachusetts Institute of Technology,Massachusetts Institute of Technology,"Cambridge, Massachusetts, United States",,Y,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/165633/Dr-Jay-Giri,Jay Giri,Retired - Independent Consultant,GGM Consulting,GGM Consulting,"Redmond, Washington, United States",,,3008,221,National Academy of Engineering,NAE Membership,Jay Giree,Retired - Independent Consultant,GGM Consulting,GGM Consulting,"Redmond, Washington, United States",,,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/165635/Dr-Selda-Gunsel,Selda Gunsel,"Chief Technology Officer & Executive Vice President, Technology",Shell PLC,Shell PLC,"Houston, Texas, United States",,,3008,221,National Academy of Engineering,NAE Membership,Selda Gunsel,"Chief AI Scientist, Facebook Professor",Shell PLC,Shell PLC,"Houston, Texas, United States",,,
3008,221,National Academy of Engineering,NAE Membership,https://www.nae.edu/165685/Professor-Georges-Hadziioannou,Georges Hadziioannou,University Professor Classe Exceptionelle,Universite de Bordeaux,Universite de Bordeaux,"Pessac, France",,,3008,221,National Academy of Engineering,NAE Membership,Georges Hadziioannou,IBM Fellow,Universite de Bordeaux,Universite de Bordeaux,"Pessac, France",,,
