id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-clifford-barger/,1974,A. Clifford Barger,Harvard Medical School,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-b-lerner/,1988,Aaron B. Lerner,Yale School of Medicine,Minnesota,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ada-sue-hinshaw/,1989,Ada Sue Hinshaw,Uniformed Services University of the Health Sciences,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/afaf-i-meleis/,2002,Afaf I. Meleis,University of Pennsylvania,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/agnes-binagwaho/,2016,Agnes Binagwaho,University of Global Health Equity,Rwanda,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/akinlolu-ojo/,2022,Akinlolu Ojo,University of Kansas School of Medicine,Kansas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-f-schatzberg/,2003,Alan F. Schatzberg,Stanford University School of Medicine,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-i-leshner/,1998,Alan I. Leshner,American Association for the Advancement of Science,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/albert-dorfman/,1973,Albert Dorfman,The University of Chicago,Illinois,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/albert-macovski/,1993,Albert Macovski,Stanford University,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alex-h-krist/,2018,Alex H. Krist,Virginia Commonwealth University,Virginia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alexander-g-bearn/,1971,Alexander G. Bearn,American Philosophical Society,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alfred-g-gilman/,1989,Alfred G. Gilman,The University of Texas Southwestern Medical Center,Connecticut,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-c-barnes/,1971,Allan C. Barnes,The Population Council,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-i-levey/,2017,Allan I. Levey,Emory University School of Medicine,Georgia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-m-brandt/,1997,Allan M. Brandt,Harvard University,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allen-d-roses/,1994,Allen D. Roses,Duke University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alton-meister/,1975,Alton Meister,Cornell University,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alvin-j-ingram/,1971,Alvin J. Ingram,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrea-l-cheville/,2016,Andrea L. Cheville,Mayo Clinic,Minnesota,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-i-schafer/,2012,Andrew I. Schafer,Weill Cornell Medical College,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-william-bazemore/,2016,Andrew William Bazemore,The Robert Graham Center,District of Columbia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ann-elizabeth-kurth/,2013,Ann Elizabeth Kurth,New York Academy of Medicine,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ann-m-graybiel/,1994,Ann M. Graybiel,Massachusetts Institute of Technology,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arnold-j-levine/,1995,Arnold J. Levine,Institute for Advanced Study,New Jersey,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arnold-richard-kriegstein/,2008,Arnold Richard Kriegstein,"University of California, San Francisco",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-horwich/,2008,Arthur Horwich,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-l-beaudet/,1995,Arthur L. Beaudet,Baylor College of Medicine,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/avedis-donabedian/,1971,Avedis Donabedian,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-b-kahn/,2005,Barbara B. Kahn,Beth Israel Deaconess Medical Center,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-g-rosenkrantz/,1981,Barbara G. Rosenkrantz,Harvard University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-k-rimer/,2008,Barbara K. Rimer,University of North Carolina School of Public Health,North Carolina,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ben-d-barker/,1983,Ben D. Barker,The University of North Carolina at Chapel Hill,Michigan,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bernadette-mazurek-melnyk/,2013,Bernadette Mazurek Melnyk,Cope2Thrive,Ohio,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bernard-g-greenberg/,1972,Bernard G. Greenberg,,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bertil-hille/,2002,Bertil Hille,University of Washington,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bonnie-w-ramsey/,2015,Bonnie W. Ramsey,University of Washington School of Medicine,Washington,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/boris-magasanik/,1977,Boris Magasanik,Massachusetts Institute of Technology,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bradford-h-gray/,2001,Bradford H. Gray,The Urban Institute,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bradley-bernstein/,2023,Bradley Bernstein,Dana-Farber Cancer Institute,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-beutler/,2008,Bruce Beutler,The University of Texas Southwestern Medical Center,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-nedrow-calonge/,2011,Bruce Nedrow Calonge,University of Colorado School of Medicine,Colorado,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-ovbiagele/,2021,Bruce Ovbiagele,San Francisco Veterans Affairs Health Care System,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-r-blazar/,2012,Bruce R. Blazar,"University of Minnesota, Minneapolis",Minnesota,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-rosen/,2010,Bruce Rosen,Massachusetts General Hospital,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bryan-l-roth/,2014,Bryan L. Roth,"University of North Carolina, School of Medicine",North Carolina,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bryan-williams/,1970,Bryan Williams,The University of Texas Southwestern Medical Center,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/c-kern-wildenthal/,1999,C. Kern Wildenthal,The University of Texas Southwestern Medical Center,Texas,
