id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abraham-m-rudolph/,1987,Abraham M. Rudolph,"University of California, San Francisco School of Medicine",California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/albert-l-lehninger/,1974,Albert L. Lehninger,Johns Hopkins University School of Medicine,Connecticut,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alexa-t-mccray/,2001,Alexa T. McCray,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alexander-rich/,1990,Alexander Rich,Massachusetts Institute of Technology,Connecticut,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alexander-rudensky/,2015,Alexander Rudensky,Memorial Sloan Kettering Cancer Center,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-i-basbaum/,2005,Allan I. Basbaum,"University of California, San Francisco",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/amato-j-giaccia/,2015,Amato J. Giaccia,Stanford University School of Medicine,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-haines/,2007,Andrew Haines,London School of Hygiene and Tropical Medicine,United Kingdom,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/angela-barron-mcbride/,1995,Angela Barron McBride,Indiana University School of Nursing,Indiana,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anna-bailey-coles/,1974,Anna Bailey Coles,Howard University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anna-suk-fong-lok/,2022,Anna Suk-Fong Lok,University of Michigan,Michigan,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anne-laude/,2013,Anne Laude,Université Paris Descartes,France,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anne-louise-coleman/,2016,Anne Louise Coleman,"University of California, Los Angeles School of Medicine",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anthony-david-mbewu/,2008,Anthony David Mbewu,No Affiliation,South Africa,
