id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-alan-fischer/,1971,A. Alan Fischer,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-clifford-barger/,1974,A. Clifford Barger,Harvard Medical School,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-eugene-washington/,1997,A. Eugene Washington,Duke University,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-mark-fendrick/,2014,A. Mark Fendrick,University of Michigan Medical School,Michigan,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-b-lerner/,1988,Aaron B. Lerner,Yale School of Medicine,Minnesota,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-j-ciechanover/,2008,Aaron J. Ciechanover,Technion-Israel Institute of Technology,Israel,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-s-kesselheim/,2020,Aaron S. Kesselheim,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aaron-shirley/,1981,Aaron Shirley,Jackson Medical Mall Foundation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abraham-c-verghese/,2011,Abraham C. Verghese,Stanford University School of Medicine,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abraham-m-lilienfeld/,1974,Abraham M. Lilienfeld,Johns Hopkins University School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abraham-m-rudolph/,1987,Abraham M. Rudolph,"University of California, San Francisco School of Medicine",California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abul-k-abbas/,2002,Abul K. Abbas,"University of California, San Francisco",,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ada-k-jacox/,1979,Ada K. Jacox,Athena Vineyards & Winery,Colorado,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ada-sue-hinshaw/,1989,Ada Sue Hinshaw,Uniformed Services University of the Health Sciences,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adam-yarmolinsky/,1970,Adam Yarmolinsky,"University of Maryland, Baltimore County",,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adaora-alise-adimora/,2019,Adaora Alise Adimora,The University of North Carolina at Chapel Hill,North Carolina,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adel-a-f-mahmoud/,1987,Adel A.F. Mahmoud,Princeton University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adetokunbo-o-lucas/,1988,Adetokunbo O. Lucas,No Affiliation,Nigeria,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adrian-l-edwards/,1973,Adrian L. Edwards,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adrian-m-ostfeld/,1987,Adrian M. Ostfeld,Yale School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adrian-r-krainer/,2019,Adrian R. Krainer,Cold Spring Harbor Laboratory,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/afaf-i-meleis/,2002,Afaf I. Meleis,University of Pennsylvania,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/agnes-binagwaho/,2016,Agnes Binagwaho,University of Global Health Equity,Rwanda,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ajit-p-varki-md/,2006,Ajit P. Varki MD,"University of California, San Diego School of Medicine",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/akiko-iwasaki/,2019,Akiko Iwasaki,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/akinlolu-ojo/,2022,Akinlolu Ojo,University of Kansas School of Medicine,Kansas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alain-c-enthoven/,1972,Alain C. Enthoven,Stanford University,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alain-fischer/,2017,Alain Fischer,Institut Imagine,France,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-c-sartorelli/,1987,Alan C. Sartorelli,Yale School of Medicine,,Y
