id,govid,govname,award,year,name,affiliation,deceased,profile_url,membership_type,primary_section,biographical_memoir_available,public_welfare_medal,secondary_section
2023,222,National Academy of Sciences,NAS Member,1888,A. A. Michelson,,Y,https://www.nasonline.org/directory-entry/a-a-michelson-2qnlwc/,Member,,Yes,,
2023,222,National Academy of Sciences,NAS Member,1939,A. Baird Hastings,Harvard University,Y,https://www.nasonline.org/directory-entry/a-baird-hastings-934zpj/,Emeritus,Section 42: Medical Physiology and Metabolism,Yes,,
2023,222,National Academy of Sciences,NAS Member,2003,A. Catharine Ross,Texas A&M University-College Station,,https://www.nasonline.org/directory-entry/a-catharine-ross-upwqiu/,Member,"Section 61: Animal, Nutritional, and Applied Microbial Sciences",,,Section 42: Medical Physiology and Metabolism
2023,222,National Academy of Sciences,NAS Member,1970,A. Dale Kaiser,Stanford University School of Medicine,Y,https://www.nasonline.org/directory-entry/a-dale-kaiser-ejnhmr/,Member,Section 26: Genetics,No,,Section 21: Biochemistry
2023,222,National Academy of Sciences,NAS Member,1992,A. David Buckingham,University of Cambridge,Y,https://www.nasonline.org/directory-entry/a-david-buckingham-5jo5k7/,International Member,Section 14: Chemistry,No,,Section 13: Physics
2023,222,National Academy of Sciences,NAS Member,1975,A. E. Ringwood,Australian National University,Y,https://www.nasonline.org/directory-entry/a-e-ringwood-jbnhup/,International Member,Section 16: Geophysics,No,,
2023,222,National Academy of Sciences,NAS Member,1970,A. Frey-Wyssling,ETH Zurich,Y,https://www.nasonline.org/directory-entry/a-frey-wyssling-yg4cme/,International Member,Section 25: Plant Biology,No,,
2023,222,National Academy of Sciences,NAS Member,1916,A. G. Mayor,,Y,https://www.nasonline.org/directory-entry/a-g-mayor-oyx0ny/,Member,,Yes,,
2023,222,National Academy of Sciences,NAS Member,1976,A. G. W. Cameron,University of Arizona,Y,https://www.nasonline.org/directory-entry/a-g-w-cameron-knlbmj/,Member,Section 16: Geophysics,Yes,,Section 12: Astronomy
2023,222,National Academy of Sciences,NAS Member,1903,A. G. Webster,,Y,https://www.nasonline.org/directory-entry/a-g-webster-5hw6jz/,Member,,Yes,,
2023,222,National Academy of Sciences,NAS Member,1991,A. James Hudspeth,The Rockefeller University,Y,https://www.nasonline.org/directory-entry/a-james-hudspeth-ufhi4h/,Member,Section 23: Physiology and Pharmacology,No,,Section 24: Cellular and Molecular Neuroscience
2023,222,National Academy of Sciences,NAS Member,1974,A. Javan,Massachusetts Institute of Technology,Y,https://www.nasonline.org/directory-entry/a-javan-exnh8f/,Member,Section 13: Physics,Yes,,
