profile_url,name,membership_type,deceased,affiliation,year
https://www.nasonline.org/directory-entry/louis-agassiz-qz6sbt/,Louis Agassiz,member,Y,"May 28, 1807 - December 14, 1873",1863
https://www.nasonline.org/directory-entry/john-alexander-xolayb/,John Alexander,member,Y,"June 26, 1812 - March 2, 1867",1863
https://www.nasonline.org/directory-entry/stephen-alexander-sxvd8w/,Stephen Alexander,member,Y,"September 1, 1806 - June 25, 1883",1863
https://www.nasonline.org/directory-entry/alexander-d-bache-s76kwu/,Alexander D. Bache,member,Y,"July 19, 1806 - February 17, 1867",1863
https://www.nasonline.org/directory-entry/frederick-a-p-barnard-fmljxa/,Frederick A. P. Barnard,member,Y,"May 5, 1809 - April 27, 1889",1863
https://www.nasonline.org/directory-entry/john-barnard-r9zv8x/,John Barnard,member,Y,"May 19, 1815 - May 14, 1882",1863
https://www.nasonline.org/directory-entry/w-h-c-bartlett-c9h6qd/,W. H. C. Bartlett,member,Y,"September 1, 1804 - February 11, 1893",1863
https://www.nasonline.org/directory-entry/alexis-caswell-fkstvk/,Alexis Caswell,member,Y,"January 29, 1799 - January 8, 1877",1863
https://www.nasonline.org/directory-entry/william-chauvenet-zutrpo/,William Chauvenet,member,Y,"May 24, 1820 - December 13, 1870",1863
https://www.nasonline.org/directory-entry/john-coffin-3hxbd9/,John Coffin,member,Y,"September 14, 1815 - January 8, 1890",1863
https://www.nasonline.org/directory-entry/james-dana-xehfz6/,James Dana,member,Y,"February 12, 1813 - April 4, 1895",1863
https://www.nasonline.org/directory-entry/charles-h-davis-5elmt3/,Charles H. Davis,member,Y,"January 16, 1807 - February 18, 1877",1863
https://www.nasonline.org/directory-entry/george-engelmann-rcdxbj/,George Engelmann,member,Y,"February 2, 1809 - February 4, 1884",1863
https://www.nasonline.org/directory-entry/john-frazer-jajtiq/,John Frazer,member,Y,"July 8, 1812 - October 12, 1872",1863
