id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-clifford-barger/,1974,A. Clifford Barger,Harvard Medical School,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-m-cormack/,1992,A. M. Cormack,Tufts University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adam-yarmolinsky/,1970,Adam Yarmolinsky,"University of Maryland, Baltimore County",,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-h-decherney/,2004,Alan H. DeCherney,,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/albert-george-mulley-jr/,2012,Albert George Mulley,Geisel School of Medicine at Dartmouth,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alfred-p-fishman/,1982,Alfred P. Fishman,University of Pennsylvania Health System,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alicia-h-munnell/,1986,Alicia H. Munnell,Boston College,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-c-barnes/,1971,Allan C. Barnes,The Population Council,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allen-d-roses/,1994,Allen D. Roses,Duke University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alonzo-yerby/,1970,Alonzo Yerby,Uniformed Services University of the Health Sciences,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alvin-morris/,1971,Alvin Morris,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alvin-r-tarlov/,1981,Alvin R. Tarlov,No Affiliation,Illinois,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/amy-l-baker/,2020,Amy L. Baker,U.S. Department of Agriculture,Iowa,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-g-wallace/,1996,Andrew G. Wallace,No Affiliation,New Hampshire,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ann-w-burgess/,1994,Ann W. Burgess,Boston College,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anne-b-young/,1994,Anne B. Young,Massachusetts General Hospital,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anthony-cerami/,1994,Anthony Cerami,"Araim Pharmaceuticals, Inc.",New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anthony-s-fauci/,1987,Anthony S. Fauci,Georgetown University School of Medicine,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aravinda-chakravarti/,2007,Aravinda Chakravarti,New York University Grossman School of Medicine,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arno-g-motulsky/,1974,Arno G. Motulsky,University of Washington School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-c-upton/,1979,Arthur C. Upton,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arup-k-chakraborty/,2017,Arup K. Chakraborty,Massachusetts Institute of Technology,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/augustine-m-k-choi/,2020,Augustine M.K. Choi,No Affiliation,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bailus-walker-jr/,1990,Bailus Walker,Howard University,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-g-rosenkrantz/,1981,Barbara G. Rosenkrantz,Harvard University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/baruch-a-brody/,2001,Baruch A. Brody,Rice University,Texas,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/beatrix-a-hamburg/,1979,Beatrix A. Hamburg,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ben-d-barker/,1983,Ben D. Barker,The University of North Carolina at Chapel Hill,Michigan,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/benjamin-k-chu/,2015,Benjamin K. Chu,No Affiliation,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/benjamin-s-bunney/,1993,Benjamin S. Bunney,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bernard-b-brodie/,1971,Bernard B. Brodie,,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-d-walker/,2009,Bruce D. Walker,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bryan-l-roth/,2014,Bryan L. Roth,"University of North Carolina, School of Medicine",North Carolina,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/c-wayne-bardin/,1991,C. Wayne Bardin,Bardin LLC,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carl-e-taylor/,1978,Carl E. Taylor,Johns Hopkins University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carlos-del-rio/,2013,Carlos del Rio,Emory University,Georgia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carol-j-baker/,2019,Carol J. Baker,University of Texas Health Science Center at Houston,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carolina-barillas-mury/,2021,Carolina Barillas-Mury,National Institutes of Health,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/caroline-breese-hall/,2002,Caroline Breese Hall,University of Rochester School of Medicine and Dentistry,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-d-flagle/,1978,Charles D. Flagle,Johns Hopkins University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-k-francis/,1990,Charles K. Francis,UMDNJ - Robert Wood Johnson Medical School Piscataway,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-r-halpern/,1972,Charles R. Halpern,No Affiliation,District of Columbia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/cheryl-lyn-walker/,2016,Cheryl Lyn Walker,Baylor College of Medicine,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/christopher-j-l-murray/,2007,Christopher J.L. Murray,Institute for Health Metrics and Evaluation,Washington,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/christopher-k-glass/,2015,Christopher K. Glass,"University of California, San Diego",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/claire-d-brindis/,2011,Claire D. Brindis,"University of California, San Francisco",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/claire-m-fraser/,2011,Claire M. Fraser,University of Maryland at Baltimore School of Medicine,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/clyde-f-barker/,1992,Clyde F. Barker,University of Pennsylvania Medical Center,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/cornelia-i-bargmann/,2017,Cornelia I. Bargmann,The Rockefeller University,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/cornelius-rosse/,2001,Cornelius Rosse,University of Washington School of Medicine,Washington,
