id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-alan-fischer/,1971,A. Alan Fischer,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/a-mark-fendrick/,2014,A. Mark Fendrick,University of Michigan Medical School,Michigan,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/abraham-m-rudolph/,1987,Abraham M. Rudolph,"University of California, San Francisco School of Medicine",California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/adrian-r-krainer/,2019,Adrian R. Krainer,Cold Spring Harbor Laboratory,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alain-fischer/,2017,Alain Fischer,Institut Imagine,France,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-c-sartorelli/,1987,Alan C. Sartorelli,Yale School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-m-garber/,1998,Alan M. Garber,Harvard University,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alan-reed-weil/,2015,Alan Reed Weil,AARP,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alexander-rudensky/,2015,Alexander Rudensky,Memorial Sloan Kettering Cancer Center,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alfred-o-berg/,1996,Alfred O. Berg,University of Washington School of Medicine,Washington,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/alicia-fernandez/,2024,Alicia Fernandez,"University of California, San Francisco",California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-douglas-kirk/,2016,Allan Douglas Kirk,Duke University School of Medicine,North Carolina,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allan-m-brandt/,1997,Allan M. Brandt,Harvard University,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/allen-m-spiegel/,2002,Allen M. Spiegel,Albert Einstein College of Medicine of Yeshiva University,,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/amy-n-finkelstein/,2009,Amy N. Finkelstein,Massachusetts Institute of Technology,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andres-jose-garcia/,2021,Andrés Jose García,Georgia Institute of Technology,Georgia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-haines/,2007,Andrew Haines,London School of Hygiene and Tropical Medicine,United Kingdom,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/andrew-z-fire/,2004,Andrew Z. Fire,Stanford University School of Medicine,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/anna-huttenlocher/,2015,Anna Huttenlocher,University of Wisconsin School of Medicine and Public Health,Wisconsin,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-h-rubenstein/,1987,Arthur H. Rubenstein,University of Pennsylvania,Illinois,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-horwich/,2008,Arthur Horwich,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/arthur-kaufman/,2015,Arthur Kaufman,The University of New Mexico,New Mexico,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ashley-t-haase/,2003,Ashley T. Haase,University of Minnesota Medical School-Minneapolis,Minnesota,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/aziz-sheikh/,2024,Aziz Sheikh,University of Oxford,,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-ann-gilchrest/,1998,Barbara Ann Gilchrest,Boston University School of Medicine,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-j-culliton/,1988,Barbara J. Culliton,Florida State University,District of Columbia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/barbara-j-mcneil/,1982,Barbara J. McNeil,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/baruch-fischhoff/,1993,Baruch Fischhoff,Carnegie Mellon University,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/beatrice-h-hahn/,2010,Beatrice H. Hahn,"University of Pennsylvania, Perelman School of Medicine",Alabama,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ben-a-barres/,2014,Ben A. Barres,Stanford University School of Medicine,California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bennett-a-shaywitz/,2001,Bennett A. Shaywitz,Yale School of Medicine,Connecticut,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bernard-fisher/,1985,Bernard Fisher,University of Pittsburgh,Pennsylvania,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bernard-n-fields/,1988,Bernard N. Fields,Harvard Medical School,New York,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/betsy-l-humphreys/,1999,Betsy L. Humphreys,No Affiliation,Virginia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bettie-sue-siler-masters/,1996,Bettie Sue Siler Masters,Duke University Medical Center,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bradley-t-hyman/,2014,Bradley T. Hyman,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-j-gantz/,2000,Bruce J. Gantz,The University of Iowa,Iowa,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/bruce-m-spiegelman/,2014,Bruce M. Spiegelman,Dana-Farber Cancer Institute,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carla-j-shatz/,1999,Carla J. Shatz,Stanford University,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carmen-garcia-pena/,2016,Carmen Garcia Pena,National Institute of Geriatrics,Mexico,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carol-friedman/,2016,Carol Friedman,Columbia University,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carol-r-bradford/,2014,Carol R. Bradford,The Ohio State University,Ohio,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/carroll-m-williams/,1974,Carroll M. Williams,Harvard University,Virginia,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-b-wilson/,2001,Charles B. Wilson,Independent Consultant,California,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-c-branas/,2019,Charles C. Branas,"Columbia University, Mailman School of Public Health",New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-fried/,1981,Charles Fried,Harvard Law School,Massachusetts,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-l-bosk/,2013,Charles L. Bosk,University of Pennsylvania,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/charles-sawyers/,2008,Charles Sawyers,Memorial Sloan Kettering Cancer Center,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/christopher-friese/,2020,Christopher Friese,University of Michigan,Michigan,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/christopher-n-bowman/,2017,Christopher N. Bowman,University of Colorado Boulder,Colorado,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/claire-pomeroy/,2011,Claire Pomeroy,The Albert and Mary Lasker Foundation,New York,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/clifford-b-saper/,2009,Clifford B. Saper,Harvard Medical School,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/colleen-l-barry/,2019,Colleen L. Barry,Cornell University,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/connie-m-weaver/,2010,Connie M. Weaver,San Diego State University,Indiana,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/d-gary-gilliland/,2015,D. Gary Gilliland,Fred Hutchinson Cancer Center,Washington,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/dan-h-barouch/,2020,Dan H. Barouch,Beth Israel Deaconess Medical Center,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/daniel-a-haber/,2009,Daniel A. Haber,Massachusetts General Hospital,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/daniel-e-polsky/,2018,Daniel E. Polsky,Johns Hopkins University,Pennsylvania,
